status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,tuid,high,,26,26,JIy1MJ4BXb1gYwgPz7Tu,JIy1MJ4BXb1gYwgPz7Tu,,,da9e4ba2ba3383a0,da9e4ba2ba3383a0,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,27,27,JYy1MJ4BXb1gYwgPz7Tv,JYy1MJ4BXb1gYwgPz7Tv,,,3a9e24db8d37dcff,3a9e24db8d37dcff,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,28,28,Joy1MJ4BXb1gYwgPz7Tv,Joy1MJ4BXb1gYwgPz7Tv,,,e6fe7832b16f68f7,e6fe7832b16f68f7,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,29,29,J4y1MJ4BXb1gYwgPz7Tv,J4y1MJ4BXb1gYwgPz7Tv,,,d5482d04d81eac7b,d5482d04d81eac7b,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,30,30,KIy1MJ4BXb1gYwgPz7Tv,KIy1MJ4BXb1gYwgPz7Tv,,,d6ca62aabb3b31e1,d6ca62aabb3b31e1,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,31,31,KYy1MJ4BXb1gYwgPz7Tv,KYy1MJ4BXb1gYwgPz7Tv,,,c8f61b18c9f56d9c,c8f61b18c9f56d9c,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,32,32,Koy1MJ4BXb1gYwgPz7Tv,Koy1MJ4BXb1gYwgPz7Tv,,,d1d1ac9c18fab9a6,d1d1ac9c18fab9a6,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,33,33,K4y1MJ4BXb1gYwgPz7Tv,K4y1MJ4BXb1gYwgPz7Tv,,,c8038e19470f11aa,c8038e19470f11aa,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,34,34,LIy1MJ4BXb1gYwgPz7Tv,LIy1MJ4BXb1gYwgPz7Tv,,,180878fb7309889d,180878fb7309889d,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,35,35,LYy1MJ4BXb1gYwgPz7Tv,LYy1MJ4BXb1gYwgPz7Tv,,,046ad2e683c96121,046ad2e683c96121,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
MATCHED,tuid,high,,36,36,Loy1MJ4BXb1gYwgPz7Tv,Loy1MJ4BXb1gYwgPz7Tv,,,86f18a6a00c0daf6,86f18a6a00c0daf6,0,0,0,,,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject,False,False
